"","Plot","Yr","LAT","LON","ELEV","Common.Name","biomass.Mg.ha.dead","biomass.Mg.ha.live","standingdead_C_Mg_ha","livetree_C_Mg_ha","carbonratio","BGtree_C_Mg_ha","foresttype","standingdead_C_gm2","livetree_C_gm2","BGtree_C_gm2","total_treeC_gm2","NPP_C_gm2y","Year_start_NPP","Year_end_NPP"
"52",229,1998,55.188954,-132.771577,1100,"Sitka spruce",NA,252.805619719932,NA,126.402809859966,0.5,63.201404929983,"western-hemlock",NA,12640.2809859966,6320.1404929983,18960.4214789949,NA,NA,NA
"53",229,1998,55.188954,-132.771577,1100,"western hemlock",NA,548.739652821501,NA,274.369826410751,0.507,139.105501990251,"western-hemlock",NA,27436.9826410751,13910.5501990251,41347.5328401001,NA,NA,NA
"54",229,1998,55.188954,-132.771577,1100,"mountain hemlock",NA,95.881451858101,NA,47.9407259290505,0.478,22.9156669940861,"western-hemlock",NA,4794.07259290505,2291.56669940861,7085.63929231366,NA,NA,NA
"55",229,2004,55.188954,-132.771577,1100,"Sitka spruce",NA,62.7751025784347,NA,31.3875512892174,0.5,15.6937756446087,"mountain-hemlock",NA,3138.75512892174,1569.37756446087,4708.13269338261,78.2062618627756,1998,2004
"56",229,2004,55.188954,-132.771577,1100,"western hemlock",NA,73.0511346791555,NA,36.5255673395778,0.507,18.5184626411659,"mountain-hemlock",NA,3652.55673395778,1851.84626411659,5504.40299807437,110.297253164734,1998,2004
"57",229,2004,55.188954,-132.771577,1100,"mountain hemlock",NA,518.220929712187,NA,259.110464856093,0.478,123.854802201213,"mountain-hemlock",NA,25911.0464856093,12385.4802201213,38296.5267057306,19.6373048611228,1998,2004
"58",229,2004,55.188954,-132.771577,1100,"Sitka spruce",NA,286.190539055434,NA,143.095269527717,0.5,71.5476347638585,"western-hemlock",NA,14309.5269527717,7154.76347638585,21464.2904291575,417.311491693776,1998,2004
"59",229,2004,55.188954,-132.771577,1100,"western hemlock",NA,559.756545392043,NA,279.878272696021,0.507,141.898284256883,"western-hemlock",NA,27987.8272696021,14189.8284256883,42177.6556952904,138.353809198385,1998,2004
"60",229,2004,55.188954,-132.771577,1100,"mountain hemlock",NA,114.227448940112,NA,57.113724470056,0.478,27.3003602966868,"western-hemlock",NA,5711.3724470056,2730.03602966868,8441.40847667428,225.961530726769,1998,2004
"61",231,1998,56.024831,-133.664436,300,"Alaska yellow-cedar",114.762574383118,676.167264644825,57.3812871915592,338.083632322413,0.478,161.603976250113,"western-redcedar",5738.12871915592,33808.3632322413,16160.3976250113,49968.7608572526,NA,NA,NA
"62",231,1998,56.024831,-133.664436,300,"western hemlock",3.40901618329227,272.848154598635,1.70450809164614,136.424077299318,0.507,69.1670071907541,"western-redcedar",170.450809164614,13642.4077299318,6916.70071907541,20559.1084490072,NA,NA,NA
"63",231,1998,56.024831,-133.664436,300,"Sitka spruce",NA,1.07048836508873,NA,0.535244182544366,0.5,0.267622091272183,"western-redcedar",NA,53.5244182544366,26.7622091272183,80.2866273816549,NA,NA,NA
"64",231,1998,56.024831,-133.664436,300,"western redcedar",NA,298.048639846914,NA,149.024319923457,0.504,75.1082572414222,"western-redcedar",NA,14902.4319923457,7510.82572414222,22413.2577164879,NA,NA,NA
"65",239,1996,57.025328,-135.64563,100,"Sitka spruce",83.4638140648728,514.851568018227,41.7319070324364,257.425784009113,0.5,128.712892004557,"western-hemlock",4173.19070324364,25742.5784009113,12871.2892004557,38613.867601367,NA,NA,NA
